Job Number,Date,Title,URL
502362,2025-10-05,Dipl. Physiotherapeut:in 60-100%,https://physioswiss.ch/stelleninserate/119996/dipl-physiotherapeutin-60-100/
502360,2025-10-04,Mobile/r Physiotherapeut/in in Zürich 40-80%,https://physioswiss.ch/stelleninserate/119897/mobile-r-physiotherapeut-in-in-zuerich-40-80/
502079,2025-10-03,BodyLab Zürich sucht Physiotherapeut:in (60-100%),https://physioswiss.ch/stelleninserate/119259/bodylab-zuerich-sucht-physiotherapeutin-60-100/
502345,2025-10-03,Physiotherapeutin / Physiotherapeut Schwerpunkt Neurologie 60-100 % – Stationär,https://physioswiss.ch/stelleninserate/119627/physiotherapeutin-physiotherapeut-schwerpunkt-neurologie-60-100-stationaer/
502352,2025-10-03,Physiotherapeutin / Physiotherapeut (a) 80-100%,https://physioswiss.ch/stelleninserate/119702/physiotherapeutin-physiotherapeut-a-80-100/
502353,2025-10-03,(Kopie) Dipl. Physiotherapeut/in (50%-70%),https://physioswiss.ch/stelleninserate/119728/kopie-dipl-physiotherapeut-in-50-70/
502355,2025-10-03,Physiotherapeut/in 60 – 100%,https://physioswiss.ch/stelleninserate/119753/physiotherapeut-in-60-100/
502356,2025-10-03,PhysiotherapeutIn (60 – 100%),https://physioswiss.ch/stelleninserate/119794/physiotherapeutin-60-100/
502357,2025-10-03,Physiothérapeute diplômé (h/f) 80-100% – Montreux (gare),https://physioswiss.ch/stelleninserate/119807/physiotherapeute-diplome-h-f-80-100-montreux-gare/
502358,2025-10-03,Kinderphysiotherapeut:in 90 – 100%,https://physioswiss.ch/stelleninserate/119826/kinderphysiotherapeutin-90-100/
502359,2025-10-03,dipl. Physiotherapeut/In gesucht in Widnau (40-60%),https://physioswiss.ch/stelleninserate/119849/dipl-physiotherapeut-in-gesucht-in-widnau-40-60/
502361,2025-10-03,Physiotherapeut:in 20-80%,https://physioswiss.ch/stelleninserate/119910/physiotherapeutin-20-80/
502295,2025-10-02,Indépendant/-e en cabinet de groupe,https://physioswiss.ch/stelleninserate/118574/independant-e-en-cabinet-de-groupe/
502342,2025-10-02,Dipl. PhysiotherapeutIn 50-100%,https://physioswiss.ch/stelleninserate/119590/dipl-physiotherapeutin-50-100/
502344,2025-10-02,Physiotherapeut 50-80%,https://physioswiss.ch/stelleninserate/119624/physiotherapeut-50-80/
502348,2025-10-02,PHYSIOTHERAPEUTE à 80%,https://physioswiss.ch/stelleninserate/119652/physiotherapeute-a-80/
502349,2025-10-02,Physiotherapeut/in 20-40%,https://physioswiss.ch/stelleninserate/119676/physiotherapeut-in-20-40/
502350,2025-10-02,Physiotherapeut*in (m/w/d),https://physioswiss.ch/stelleninserate/119691/physiotherapeutin-m-w-d/
502351,2025-10-02,Physiothérapeute,https://physioswiss.ch/stelleninserate/119696/physiotherapeute/
502354,2025-10-02,physio5 | Fischermätteli sucht Osteo,https://physioswiss.ch/stelleninserate/119735/physio5-fischermaetteli-sucht-osteo/
502331,2025-10-01,Cabinet recherche un/e physiothérapeute entre 60% et 80%.,https://physioswiss.ch/stelleninserate/119368/cabinet-recherche-un-e-physiotherapeute-entre-60-et-80/
502333,2025-10-01,Physiotherapeutin / Physiotherapeut stationäre Neurorehabilitation 80-100%,https://physioswiss.ch/stelleninserate/119406/physiotherapeutin-physiotherapeut-stationaere-neurorehabilitation-80-100/
502310,2025-10-01,Dipl. Physiotherapeutin*in 45% Uttwil & Kreuzlingen,https://physioswiss.ch/stelleninserate/119440/dipl-physiotherapeutinin-45-uttwil-kreuzlingen/
502340,2025-10-01,: Sei Du der Glückspilz (Raum Luzern) :,https://physioswiss.ch/stelleninserate/119539/sei-du-der-glueckspilz-raum-luzern/
502341,2025-10-01,Physiotherapeut/-in 60-100%,https://physioswiss.ch/stelleninserate/119562/physiotherapeut-in-60-100/
502343,2025-10-01,"Physiotherapeutin / Physiotherapeuten, 60%",https://physioswiss.ch/stelleninserate/119607/physiotherapeutin-physiotherapeuten-60/
502346,2025-10-01,Dipl. Physiotherapeut/in 80% bis 100% in Siggenthal (AG) gesucht,https://physioswiss.ch/stelleninserate/119631/dipl-physiotherapeut-in-80-bis-100-in-siggenthal-ag-gesucht/
502347,2025-10-01,Dipl. Physiotherapeut/in 30% bis 100% in Amriswil (TG) gesucht,https://physioswiss.ch/stelleninserate/119639/dipl-physiotherapeut-in-30-bis-100-in-amriswil-tg-gesucht/
502326,2025-09-30,DIPL. PHYSIOTHERAPEUT/IN 40-100%,https://physioswiss.ch/stelleninserate/119299/dipl-physiotherapeut-in-40-100/
502327,2025-09-30,Dipl. Physiotherapeut/In 80-100% gesucht,https://physioswiss.ch/stelleninserate/119302/dipl-physiotherapeut-in-80-100-gesucht/
502328,2025-09-30,Physiotherapeut:in 50-100%,https://physioswiss.ch/stelleninserate/119305/physiotherapeutin-50-100/
502329,2025-09-30,Physiotherapeut / Physiotherapeutin,https://physioswiss.ch/stelleninserate/119309/physiotherapeut-physiotherapeutin/
502330,2025-09-30,60-80% in SEUZACH im Alterszentrum und Hausbesuche (Seuziphysio AG),https://physioswiss.ch/stelleninserate/119365/60-80-in-seuzach-im-alterszentrum-und-hausbesuche-seuziphysio-ag/
502332,2025-09-30,Dipl. PhysiotherapeutIn 50 – 100%,https://physioswiss.ch/stelleninserate/119397/dipl-physiotherapeutin-50-100/
502334,2025-09-30,"Mobiler Physiotherapeut:in (50–100 %) – Spitzenlohn, Dienstwagen & volle Freiheit AG / ZH / LU / ZG",https://physioswiss.ch/stelleninserate/119418/mobiler-physiotherapeutin-50-100-spitzenlohn-dienstwagen-volle-freiheit-ag-zh-lu-zg/
502335,2025-09-30,PhysiotherapeutIn (40-100%) für den Standort Zug gesucht,https://physioswiss.ch/stelleninserate/119443/physiotherapeutin-40-100-fuer-den-standort-zug-gesucht/
502336,2025-09-30,PhysiotherapeutIn (40-100%) für Zentrum in Biel gesucht,https://physioswiss.ch/stelleninserate/119449/physiotherapeutin-40-100-fuer-zentrum-in-biel-gesucht/
502337,2025-09-30,PhysiotherapeutIn (40-100%) für Zentrum in Aarau gesucht,https://physioswiss.ch/stelleninserate/119453/physiotherapeutin-40-100-fuer-zentrum-in-aarau-gesucht/
502338,2025-09-30,PhysiotherapeutIn (80 – 100%) für Zentrum in Bern gesucht,https://physioswiss.ch/stelleninserate/119457/physiotherapeutin-80-100-fuer-zentrum-in-bern-gesucht/
502339,2025-09-30,Dipl. Physiotherapeut/in Teil- oder Vollzeit,https://physioswiss.ch/stelleninserate/119528/dipl-physiotherapeut-in-teil-oder-vollzeit/
502281,2025-09-29,Physiotherapeut/in,https://physioswiss.ch/stelleninserate/118470/physiotherapeut-in/
502252,2025-09-29,Praxisbeteiligung (nach Wunsch anfänglich auch in Anstellung denkbar).,https://physioswiss.ch/stelleninserate/118577/praxisbeteiligung-nach-wunsch-anfaenglich-auch-in-anstellung-denkbar/
243215,2025-09-29,Physiotherapeut*in (70-100%),https://physioswiss.ch/stelleninserate/119255/physiotherapeutin-70-100/
502322,2025-09-29,Ich suche eine engagierte Physiotherapeutin mit Leidenschaft für den Beruf,https://physioswiss.ch/stelleninserate/119268/ich-suche-eine-engagierte-physiotherapeutin-mit-leidenschaft-fuer-den-beruf/
502323,2025-09-29,"Physiotherapeut:in (m/w/d), 80-100%",https://physioswiss.ch/stelleninserate/119272/physiotherapeutin-m-w-d-80-100/
502324,2025-09-29,Praxisleiter/in Physiotherapie 100%,https://physioswiss.ch/stelleninserate/119288/praxisleiter-in-physiotherapie-100/
502325,2025-09-29,Dipl. Physiotherapeut*in mit SRK-Anerkennung (40 – 100%),https://physioswiss.ch/stelleninserate/119296/dipl-physiotherapeutin-mit-srk-anerkennung-40-100/
502294,2025-09-27,Ferienvertretung 60% Januar bis März 2026,https://physioswiss.ch/stelleninserate/118566/ferienvertretung-60-januar-bis-maerz-2026/
502300,2025-09-27,Dipl. Physiotherapeut*in 60-100% in Frauenfeld,https://physioswiss.ch/stelleninserate/118659/dipl-physiotherapeutin-60-100-in-frauenfeld/
502319,2025-09-27,Dipl. Physiotherapeut/in 30% bis 100% in Bellach (SO) gesucht,https://physioswiss.ch/stelleninserate/119225/dipl-physiotherapeut-in-30-bis-100-in-bellach-so-gesucht/
502320,2025-09-27,Physiotherapeut/in 60%-80% in Visp gesucht,https://physioswiss.ch/stelleninserate/119236/physiotherapeut-in-60-80-in-visp-gesucht/
502321,2025-09-27,Ferienvertretung Physiotherapeut:in 50 – 100 % in Heiden AR,https://physioswiss.ch/stelleninserate/119243/ferienvertretung-physiotherapeutin-50-100-in-heiden-ar/
501763,2025-09-26,dipl. PhysiotherapeutIn in Meilen,https://physioswiss.ch/stelleninserate/111802/dipl-physiotherapeutin-in-meilen/
502308,2025-09-26,Physiotherapeut/in 40-60%,https://physioswiss.ch/stelleninserate/118875/physiotherapeut-in-40-60/
502309,2025-09-26,PhysiotherapeutInnen HF/FH BSc,https://physioswiss.ch/stelleninserate/118956/physiotherapeutinnen-hf-fh-bsc/
502313,2025-09-26,Dipl. Physiotherapeut/in 60-100%,https://physioswiss.ch/stelleninserate/119136/dipl-physiotherapeut-in-60-100/
502314,2025-09-26,Physio mit Fokus Beckenboden gesucht – Zürich City,https://physioswiss.ch/stelleninserate/119140/physio-mit-fokus-beckenboden-gesucht-zuerich-city/
502315,2025-09-26,Leitung Physiotherapie im Oberaargau gesucht,https://physioswiss.ch/stelleninserate/119150/leitung-physiotherapie-im-oberaargau-gesucht/
502316,2025-09-26,Kinderphysiotherapeutinnen / Kinderphysiotherapeuten,https://physioswiss.ch/stelleninserate/119202/kinderphysiotherapeutinnen-kinderphysiotherapeuten/
502317,2025-09-26,fachliche Unterstützung gesucht,https://physioswiss.ch/stelleninserate/119210/fachliche-unterstuetzung-gesucht/
502318,2025-09-26,Physiothérapeute 60%-100% (100% à court terme),https://physioswiss.ch/stelleninserate/119222/physiotherapeute-60-100-100-a-court-terme/
502303,2025-09-25,Physiotherapeut/in 80-100% in St. Gallen gesucht,https://physioswiss.ch/stelleninserate/118803/physiotherapeut-in-80-100-in-st-gallen-gesucht/
502305,2025-09-25,UFGSTELLTE/I PHYSIOTHERAPEUT/-IN 80% AB 1.DEZEMBER 2025,https://physioswiss.ch/stelleninserate/118825/ufgstellte-i-physiotherapeut-in-80-ab-1-dezember-2025/
254848,2025-09-25,PhysiotherapeutIn (80-100%) für Uster gesucht,https://physioswiss.ch/stelleninserate/119049/physiotherapeutin-80-100-fuer-uster-gesucht/
502311,2025-09-25,PhysiotherapeutIn (40 – 100%) für Zentrum in Winterthur gesucht,https://physioswiss.ch/stelleninserate/119100/physiotherapeutin-40-100-fuer-zentrum-in-winterthur-gesucht/
502312,2025-09-25,"Physiotherapeut:in (60–80 %) für Vertretung gesucht ab November/Dezember 2025 – Dauer 2–3 Monate, Option auf Festanstellung",https://physioswiss.ch/stelleninserate/119114/physiotherapeutin-60-80-fuer-vertretung-gesucht-ab-november-dezember-2025-dauer-2-3-monate-option-auf-festanstellung/
502302,2025-09-24,Physiotherapeut:in 20-90%,https://physioswiss.ch/stelleninserate/118744/physiotherapeutin-20-90/
502306,2025-09-24,PhysiotherapeutIn (40-100%) für Zentrum in Lenzburg gesucht,https://physioswiss.ch/stelleninserate/118828/physiotherapeutin-40-100-fuer-zentrum-in-lenzburg-gesucht/
502296,2025-09-23,Physiotherapeut:in 40 – 60% in Wollerau/SZ,https://physioswiss.ch/stelleninserate/118606/physiotherapeutin-40-60-in-wollerau-sz/
502297,2025-09-23,PHYSIOTHERAPEUT/IN 40-70% in Brugg AG / Praxis + Hausbesuche,https://physioswiss.ch/stelleninserate/118618/physiotherapeut-in-40-70-in-brugg-ag-praxis-hausbesuche/
